de ,of 
je ,I 
est ,East 
pas ,not 
le ,THE 
que ,that 
la ,there 
vous ,YOU 
tu ,you 
un ,A 
c' c' ,it's 
à à ,has 
et ,And 
il ,he 
a ,has 
l' l' ,L' 
ne ,born 
les ,THE 
j' j' ,I 
en ,in 
on ,we 
ça ça ,That 
une ,a 
d' d' ,of 
ce ,This 
pour ,For 
ai ,ai 
des ,of the 
qui ,Who 
mais ,but 
dans ,In 
nous ,We 
elle ,She 
me ,me 
bien ,GOOD 
si ,if 
du ,of 
y ,y 
suis ,am 
non ,No 
t' t' ,you 
avec ,with 
tout ,All 
plus ,more 
mon ,My 
m' m' ,me 
te ,you 
au ,At 
fait ,do 
moi ,Me 
oui ,Yes 
va ,go 
as ,ace 
faire ,TO DO 
ils ,they 
sur ,on 
quoi ,What 
se ,se 
comme ,as 
sais ,know 
veux ,want 
ici ,here 
ma ,my 
toi ,You 
dit ,said 
lui ,him 
votre ,your 
es ,are 
pourquoi ,Why 
où où ,Or 
là là ,there 
rien ,Nothing 
cette ,this 
sont ,are 
quand ,When 
peux ,can 
dire ,say 
son ,her 
avez ,have 
vais ,go 
alors ,SO 
ton ,your 
comment ,how 
par ,by 
ou ,Or 
chose ,thing 
bon ,Good 
ont ,have 
merci ,THANKS 
juste ,just 
jamais ,Never 
aussi ,Also 
avoir ,to have 
vraiment ,Really 
voir ,see 
sa ,its 
oh ,Oh 
maintenant ,NOW 
tous ,all 
peut ,can 
deux ,two 
ces ,these 
allez ,Go on 
ta ,your 
autre ,other 
peu ,little 
temps ,time 
quelque ,some 
fais ,do  
toujours ,always 
encore ,Again 
notre ,OUR 
mes ,my 
besoin ,need 
avait ,had 
accord ,agreement 
faut ,must 
dois ,have to 
vie ,life 
aller ,go 
fois ,times 
vu ,seen 
donc ,SO 
sans ,without 
monde ,world 
parce ,because 
avant ,Before 
sûr sûr ,on 
trop ,too much 
parler ,talk 
personne ,person 
avais ,had 
crois ,believe 
aux ,to 
dieu ,God 
ouais ,Yeah 
ses ,his 
pense ,think 
eu ,had 
aime ,love 
leur ,their 
homme ,man 
viens ,come 
vrai ,TRUE 
femme ,women 
ok ,ok 
doit ,must 
veut ,wanna 
ans ,years 
m. m. ,mr. 
mal ,wrong 
chez ,at the house of 
déjà déjà ,Already 
depuis ,Since 
beaucoup ,a lot 
vos ,your 
bonne ,Good 
mort ,dead 
mieux ,better 
vas ,go 
mère mère ,mother 
sera ,will be 
dis ,say 
fille ,girl 
tes ,your  
gens ,people 
quel ,what 
vois ,see  
ca ,That 
avons ,have 
petit ,little 
maison ,House 
soit ,either 
cela ,that 
autres ,others 
toute ,all 
soir ,evening 
passé passé ,pass 
prendre ,take 
jour ,day 
monsieur ,Sir 
nos ,our 
savoir ,know 
choses ,things 
salut ,Hi 
cet ,this 
nom ,name 
argent ,money 
bonjour ,Good morning 
nuit ,night 
raison ,reason 
moins ,less 
arrive ,arrived 
maman ,Mom 
reste ,stay 
moment ,moment 
voulais ,wanted 
seul ,alone 
aider ,help 
air ,air 
entre ,between 
papa ,dad 
passe ,pass 
aurais ,would have 
ah ,oh 
peur ,fear 
regarde ,look at 
voulez ,want 
gars ,guys 
fils ,son 
attends ,wait 
savez ,know 
trouver ,find 
trois ,three 
assez ,enough 
famille ,family 
dû dû ,of 
eh ,eh 
toutes ,all 
pourrait ,could 
travail ,work 
pris ,taken 
pu ,could 
quelle ,what 
sait ,knows 
sommes ,are 
appelle ,calls 
quelques ,a few 
faites ,do 
partir ,leave 
vite ,quickly 
seule ,alone 
serait ,would be 
voiture ,car 
enfants ,children 
tuer ,kill 
merde ,shit 
hé hé ,Hey 
pendant ,during 
idée idée ,idea 
chance ,chance 
parle ,speak 
aurait ,would have 
part ,leaves 
elles ,they 
jours ,days 
grand ,big 
venir ,come 
ami ,friend 
demain ,tomorrow 
hein ,eh 
tard ,late 
puis ,Then 
truc ,thing 
passer ,pass 
petite ,small 
tant ,so much 
connais ,know 
combien ,How much 
mec ,dude 
sens ,sense 
pouvez ,can 
porte ,door 
sortir ,to go out 
super ,great 
heure ,hour 
contre ,against 
coup ,cut 
comprends ,understand 
entendu ,heard 
vient ,come 
allons ,let's go 
ensemble ,together 
nouveau ,new 
amour ,love 
importe ,imported 
sang ,blood 
cas ,case 
sous ,below 
rester ,stay 
amis ,friends 
prends ,take 
fini ,finished 
hommes ,men 
tué tué ,killed 
question ,question 
partie ,part 
histoire ,history 
devrais ,should 
aide ,help 
demande ,request 
chercher ,seek 
pensais ,thought 
genre ,gender 
seulement ,only 
police ,police 
car ,because 
mois ,month 
laisser ,to leave  
aucun ,none 
mettre ,put 
eux ,them 
laisse ,leave alone 
chaque ,each 
ville ,city 
devrait ,should 
parlé parlé ,speak 
vont ,are going 
longtemps ,a long time 
aucune ,none 
heures ,hours 
bébé bébé ,baby 
place ,place 
revoir ,goodbye 
putain ,damn 
compris ,Understood 
ni ,neither 
savais ,knew 
leurs ,their 
attention ,attention 
donner ,give 
affaire ,affair 
endroit ,place 
pourrais ,could 
corps ,body 
façon façon ,way 
voici ,here is 
train ,train 
dont ,of which 
yeux ,eyes 
trouve ,find 
pouvoir ,power 
type ,kind 
perdu ,lost 
premier ,first 
côté côté ,side 
point ,point 
tellement ,such 
main ,hand 
tiens ,hold 
sois ,be 
enfant ,child 
vieux ,old 
matin ,Morning 
venu ,came 
pardon ,pardon 
suite ,following 
vers ,towards 
minutes ,minutes 
venez ,come 
devant ,in front 
dr ,Dr. 
enfin ,Finally 
cause ,cause 
nouvelle ,new 
attendez ,wait 
chambre ,bedroom 
droit ,right 
parti ,party 
mis ,put 
eau ,water 
compte ,account 
dirait ,would say 
terre ,earth 
belle ,beautiful 
espère espère ,hope 
aimerais ,would like 
loin ,far 
mari ,husband 
donne ,given 
fin ,END 
croire ,believe 
mme ,mrs 
aura ,will have 
gros ,fat 
boulot ,job 
chérie chérie ,Dear 
prêt prêt ,ready 
filles ,girls 
bureau ,desk 
mourir ,die 
hier ,yesterday 
possible ,possible 
jouer ,play 
demander ,ask 
celui ,the one 
voulait ,wanted 
beau ,beautiful 
jeune ,young 
euh ,uh 
dehors ,out 
docteur ,doctor 
confiance ,trust 
appeler ,to call 
chef ,chief 
femmes ,women 
propos ,about 
semaine ,week 
vivre ,live 
regardez ,look 
feu ,fire 
madame ,Mrs 
hey ,hey 
près près ,close 
affaires ,business 
meilleur ,best 
devez ,must 
dessus ,above 
mains ,hands 
penses ,think 
prie ,pray 
grande ,big 
manger ,eat 
arriver ,arrive 
dur ,hard 
guerre ,war 
ait ,have 
marche ,walk 
essaie ,try 
important ,important 
dites ,say 
exactement ,Exactly 
font ,make 
fort ,strong 
presque ,almost 
plein ,full 
ben ,well 
mariage ,marriage 
parents ,parents 
capitaine ,captain 
dernier ,last 
fou ,mad 
ceux ,those 
tomber ,to fall 
attendre ,to wait for 
vue ,view 
souviens ,remember 
envie ,envy 
jeu ,game 
pays ,country 
garde ,guard 
cours ,course 
ii ,ii 
personnes ,people 